"","zones","regions","Date","Population résidente par zone","Taux d'urbanisation","Repartition des ménages par zones","Taille des ménages"
"164","Urban","Matam",2010,99027,NA,11786.1898505796,8.5
"165","Urban","Matam",2011,105512,NA,12474.8989085444,8.5
"166","Urban","Matam",2012,112422,NA,14259.388,8.5
"167","Urban","Matam",2013,119784,NA,11179,10.7150907952411
"168","Urban","Matam",2014,133856,NA,12492.2879850397,10.7150907952411
"169","Urban","Matam",2015,143306,NA,13374.221715755,10.7150907952411
"170","Urban","Matam",2016,153892,NA,14362.1741467976,10.7150907952411
"171","Urban","Matam",2017,165055,NA,15403.9758648901,10.7150907952411
"172","Urban","Matam",2018,176142,NA,16438.6847826087,10.7150907952411
"173","Urban","Saint-Louis",2000,242737,NA,28096,9.3
"174","Urban","Saint-Louis",2001,248890,NA,29932,9
"175","Urban","Saint-Louis",2002,255199,NA,30222,8.44414664813712
"176","Urban","Saint-Louis",2003,269027,NA,31183,8.51821284902834
"177","Urban","Saint-Louis",2004,280744,NA,32174,8.51499984385192
"178","Urban","Saint-Louis",2005,292971,NA,33196,8.51139479885212
"179","Urban","Saint-Louis",2006,305730,NA,34252,8.50741018626875
"180","Urban","Saint-Louis",2007,319045,NA,35340,8.5030550212419
"181","Urban","Saint-Louis",2008,332940,NA,36464,8.49832461909624
"182","Urban","Saint-Louis",2009,347440,NA,37623,8.49323305047345
"183","Urban","Saint-Louis",2010,362572,NA,38819,8.48778071836235
"184","Urban","Saint-Louis",2011,378363,NA,40053,8.48197549478753
"185","Urban","Saint-Louis",2012,394841,NA,41326,9.81171808552189
"186","Urban","Saint-Louis",2013,412037,NA,51162,8.18229147253306
"187","Urban","Saint-Louis",2014,431921,NA,53631,8.05355627298395
"188","Urban","Saint-Louis",2015,449114,NA,55766,8.05353905476573
"189","Urban","Saint-Louis",2016,466940,NA,57979,8.05355767136365
"190","Urban","Saint-Louis",2017,485410,NA,60273,8.0535583276358
"191","Urban","Saint-Louis",2018,504535,NA,62647,8.05355895654561
"192","Urban","Sédhiou",2008,63947,NA,9772.08813245285,7.8
"193","Urban","Sédhiou",2009,68010,NA,10065.1208002662,7.8
"194","Urban","Sédhiou",2010,72331,NA,10166.2147080358,7.9538994605053
"195","Urban","Sédhiou",2011,76927,NA,10268.3240013522,8.1107082051319
"196","Urban","Sédhiou",2012,81815,NA,10371.4588787312,8.51450128979379
"197","Urban","Sédhiou",2013,87014,NA,8598,10.1202605257037
"198","Urban","Sédhiou",2014,95960,NA,9481.9693382674,10.1202605257037
"199","Urban","Sédhiou",2015,101591,NA,10038.3779391822,10.1202605257037
"200","Urban","Sédhiou",2016,107013,NA,10574.1348978325,10.1202605257037
"201","Urban","Sédhiou",2017,113226,NA,11188.0518996943,10.1202605257037
"202","Urban","Sédhiou",2018,119762,NA,11833.8850759648,10.1202605257037
"203","Urban","Tambacounda",2000,96034,NA,13258,6.9
"204","Urban","Tambacounda",2001,99684,NA,13503,7
"205","Urban","Tambacounda",2002,103473,NA,12825,8
"206","Urban","Tambacounda",2003,108605,NA,13012,8.6262430461821
"207","Urban","Tambacounda",2004,112997,NA,13203,8.87764654056617
"208","Urban","Tambacounda",2005,117566,NA,13396,9.12639404756445
"209","Urban","Tambacounda",2006,122320,NA,13592,9.37250548729478
"210","Urban","Tambacounda",2007,127266,NA,13790,9.61600064877991
"211","Urban","Tambacounda",2008,132412,NA,13992,9.85689919075223
"212","Urban","Tambacounda",2009,137766,NA,14196,10.0952206424538
"213","Urban","Tambacounda",2010,143337,NA,17507,8.5
"214","Urban","Tambacounda",2011,149133,NA,18164,8.5
"215","Urban","Tambacounda",2012,155164,NA,18429,8.75100763679595
"216","Urban","Tambacounda",2013,161439,NA,21307,7.57680574459098
"217","Urban","Tambacounda",2014,170706,NA,22530,7.57680574459098
"218","Urban","Tambacounda",2015,178236,NA,23524,7.57684825479237
"219","Urban","Tambacounda",2016,186878,NA,24664,7.57684628893696
"220","Urban","Tambacounda",2017,195945,NA,25861,7.57684441281121
"221","Urban","Tambacounda",2018,205456,NA,27116,7.57684262276744
"222","Urban","Thiès",2000,520899,NA,59838,9.2
"223","Urban","Thiès",2001,542109,NA,58824,9
"224","Urban","Thiès",2002,564183,NA,62108,9
"225","Urban","Thiès",2003,591471,NA,64361,9.1335902422351
"226","Urban","Thiès",2004,614890,NA,66697,9.0961232397762
"227","Urban","Thiès",2005,639236,NA,69117,9.05862889155029
"228","Urban","Thiès",2006,664546,NA,71624,9.02111525450299
"229","Urban","Thiès",2007,690858,NA,74223,8.98357925670761
"230","Urban","Thiès",2008,718212,NA,76916,8.94603113948734
"231","Urban","Thiès",2009,746649,NA,79707,8.90847013793618
"232","Urban","Thiès",2010,776212,NA,82599,8.87089673820528
"233","Urban","Thiès",2011,806946,NA,85596,8.83331760537429
"234","Urban","Thiès",2012,838897,NA,88702,9.61788651387787
"235","Urban","Thiès",2013,872112,NA,106308,9.48774396069962
"236","Urban","Thiès",2014,909991,NA,110925,8.20363472175189
"237","Urban","Thiès",2015,946550,NA,115382,8.20363472175189
"238","Urban","Thiès",2016,982424,NA,119755,8.20363472175189
"239","Urban","Thiès",2017,1021459,NA,124513,8.20363472175189
"240","Urban","Thiès",2018,1059728,NA,129178,8.20363472175189
"241","Urban","Ziguinchor",2000,185474,NA,31727,8.1
"242","Urban","Ziguinchor",2001,188747,NA,32397,8
"243","Urban","Ziguinchor",2002,192078,NA,25137,7.6
"244","Urban","Ziguinchor",2003,197493,NA,25139,7.9
"245","Urban","Ziguinchor",2004,202386,NA,25142,8.1
"246","Urban","Ziguinchor",2005,207400,NA,25144,8.4
"247","Urban","Ziguinchor",2006,212539,NA,25147,8.6
"248","Urban","Ziguinchor",2007,217805,NA,25149,8.9
"249","Urban","Ziguinchor",2008,223201,NA,25152,9.2
"250","Urban","Ziguinchor",2009,228731,NA,25154,9.4
"251","Urban","Ziguinchor",2010,234398,NA,25157,9.7
"252","Urban","Ziguinchor",2011,240206,NA,25159,10
"253","Urban","Ziguinchor",2012,246157,NA,25162,10.3
"254","Urban","Ziguinchor",2013,252256,NA,34616,7.2
"255","Urban","Ziguinchor",2014,262596,NA,36035,7.3
"256","Urban","Ziguinchor",2015,273674,NA,37555,7.3
"257","Urban","Ziguinchor",2016,284713,NA,39070,7.3
"258","Urban","Ziguinchor",2017,296918,NA,40745,7.3
"259","Urban","Ziguinchor",2018,309084,NA,42414,7.3
"260","Rual","SENEGAL",2000,5563042,NA,585915.560458047,8.86752902036785
"261","Rual","SENEGAL",2001,5703492,NA,545584.1,10
"262","Rual","SENEGAL",2002,5849517,NA,571656,10.2
"263","Rual","SENEGAL",2003,6067159,NA,591669.434648343,10.2543052001847
"264","Rual","SENEGAL",2004,6191012,NA,612383.5311745,10.1096977515017
"265","Rual","SENEGAL",2005,6317131,NA,633822.819454309,9.96671470392949
"266","Rual","SENEGAL",2006,6445547,NA,656012.688144182,9.82533892109667
"267","Rual","SENEGAL",2007,6576292,NA,678979.414746644,9.68555478876626
"268","Rual","SENEGAL",2008,6709399,NA,702750.19672847,9.54734540763432
"269","Rual","SENEGAL",2009,6844899,NA,727353.183728231,9.4106950770687
"270","Rual","SENEGAL",2010,6982825,NA,752817.510891437,9.27558823521999
"271","Rual","SENEGAL",2011,7123209,NA,779173.333372709,9.14200862707721
"272","Rual","SENEGAL",2012,7266084,NA,806451.862045874,9.00994141053303
"273","Rual","SENEGAL",2013,7405915,NA,754009,9.82205119567538
"274","Rual","SENEGAL",2014,7562528,NA,770041.083930278,9.82094093136041
"275","Rual","SENEGAL",2015,7758140,NA,789828.8522896,9.82255836503095
"276","Rual","SENEGAL",2016,7960039,NA,810258.595527649,9.82407227018226
"277","Rual","SENEGAL",2017,8166580,NA,831166.335116193,9.8254460689368
"278","Rual","SENEGAL",2018,8381489,NA,852926.904630413,9.82673773625635
"279","Rual","Dakar",2000,60297,NA,9483,8.3
"280","Rual","Dakar",2001,60910,NA,8129,10
"281","Rual","Dakar",2002,61513,NA,6695,9.1
"282","Rual","Dakar",2003,65864,NA,6997,9
"283","Rual","Dakar",2004,69509,NA,7312,8.9
"284","Rual","Dakar",2005,73323,NA,7641,8.8
"285","Rual","Dakar",2006,77314,NA,7986,8.7
"286","Rual","Dakar",2007,81490,NA,8345,8.6
"287","Rual","Dakar",2008,85859,NA,8721,8.5
"288","Rual","Dakar",2009,90427,NA,9114,8.4
"289","Rual","Dakar",2010,95204,NA,9525,8.3
"290","Rual","Dakar",2011,100199,NA,9954,8.3
"291","Rual","Dakar",2012,105421,NA,10403,8.2
"292","Rual","Dakar",2013,110880,NA,13666,10.2
"293","Rual","Dakar",2014,116405,NA,14422,8.1
"294","Rual","Dakar",2015,119905,NA,14855,8.1
"295","Rual","Dakar",2016,123457,NA,15295,8.1
"296","Rual","Dakar",2017,127054,NA,15741,8.1
"297","Rual","Dakar",2018,130693,NA,16192,8.07150791956401
"298","Rual","Diourbel",2000,814461,NA,78217,9
"299","Rual","Diourbel",2001,848795,NA,80582,9
"300","Rual","Diourbel",2002,884485,NA,84848,10.4243470676975
"301","Rual","Diourbel",2003,917831,NA,88196,10.4290423925069
"302","Rual","Diourbel",2004,947197,NA,91675,10.3644586208869
"303","Rual","Diourbel",2005,977502,NA,95292,10.3002655865274
"304","Rual","Diourbel",2006,1008777,NA,99052,10.2364686128239
"305","Rual","Diourbel",2007,1041053,NA,102960,10.1730541788423
"306","Rual","Diourbel",2008,1074361,NA,107022,10.1100246471221
"307","Rual","Diourbel",2009,1108735,NA,111245,10.0473799505769
"308","Rual","Diourbel",2010,1144209,NA,115634,9.98511769325286
"309","Rual","Diourbel",2011,1180818,NA,120196,9.92323326550684
"310","Rual","Diourbel",2012,1218597,NA,124939,9.74308248733493
"311","Rual","Diourbel",2013,1257591,NA,130910,9.71701843431063
"312","Rual","Diourbel",2014,1295119,NA,134817,9.60647795418127
"313","Rual","Diourbel",2015,1335344,NA,139005,9.60647098362001
"314","Rual","Diourbel",2016,1375448,NA,143179,9.60646441889741
"315","Rual","Diourbel",2017,1418702,NA,147682,9.60645828642532
"316","Rual","Diourbel",2018,1463558,NA,152352,9.60645255279829
"317","Rual","Fatick",2000,520945,NA,58833.4644127267,8.8
"318","Rual","Fatick",2001,526682,NA,61920.8888888889,9
"319","Rual","Fatick",2002,532468,NA,53661,9.9
"320","Rual","Fatick",2003,538979,NA,54473.7689459736,9.87281393622099
"321","Rual","Fatick",2004,545287,NA,55298.8483848478,9.83972228572144
"322","Rual","Fatick",2005,551638,NA,56136.4247758078,9.80666995536612
"323","Rual","Fatick",2006,558032,NA,56986.6874022173,9.77365945073988
"324","Rual","Fatick",2007,564468,NA,57849.8284143942,9.74069271211175
"325","Rual","Fatick",2008,570945,NA,58726.042873035,9.70777115062418
"326","Rual","Fatick",2009,577462,NA,59615.5287932958,9.67489568297261
"327","Rual","Fatick",2010,584018,NA,60518.4871895423,9.64206676462535
"328","Rual","Fatick",2011,590611,NA,61435.1221207766,9.60928442163265
"329","Rual","Fatick",2012,597240,NA,62365.6407367521,9.4743133561971
"330","Rual","Fatick",2013,603903,NA,59199,9.81686485693605
"331","Rual","Fatick",2014,617277,NA,60510.0175408965,10.2012365073734
"332","Rual","Fatick",2015,636028,NA,62348.1280470539,10.2012365073734
"333","Rual","Fatick",2016,655602,NA,64266.9150476153,10.2012365073734
"334","Rual","Fatick",2017,676054,NA,66271.7700458517,10.2012365073734
"335","Rual","Fatick",2018,697433,NA,68367.4963810413,10.2012365073734
"336","Rual","Kaffrine",2008,463297,NA,45514.1933239446,9.4572058391285
"337","Rual","Kaffrine",2009,467152,NA,45976.4973292715,9.56364337385819
"338","Rual","Kaffrine",2010,470875,NA,46443.4971223896,9.67126049423666
"339","Rual","Kaffrine",2011,474454,NA,46915.2404001019,9.78006960857405
"340","Rual","Kaffrine",2012,477872,NA,47391.7753436846,9.84872127315649
"341","Rual","Kaffrine",2013,481115,NA,44930,10.7081014912085
"342","Rual","Kaffrine",2014,492699,NA,46011.7977406649,10.7081014912085
"343","Rual","Kaffrine",2015,508438,NA,47481.6194464941,10.7081014912085
"344","Rual","Kaffrine",2016,524580,NA,48989.0762083909,10.7081014912085
"345","Rual","Kaffrine",2017,541129,NA,50534.541575299,10.7081014912085
"346","Rual","Kaffrine",2018,558101,NA,52119.5097429928,10.7081014912085
"347","Rual","Kaolack",2000,789417,NA,80918,9.6
"348","Rual","Kaolack",2001,804781,NA,76310,11
"349","Rual","Kaolack",2002,820444,NA,75245,10.9
"350","Rual","Kaolack",2003,833845,NA,75024,10.7734944257951
"351","Rual","Kaolack",2004,848517,NA,74803,10.669649097947
"352","Rual","Kaolack",2005,863428,NA,74583,10.5667195578942
"353","Rual","Kaolack",2006,878580,NA,74364,10.4646981413905
"354","Rual","Kaolack",2007,893976,NA,74145,10.363577246155
"355","Rual","Kaolack",2008,459799,NA,73927,10.2633493313834
"356","Rual","Kaolack",2009,488867,NA,73709,10.1640069172626
"357","Rual","Kaolack",2010,519547,NA,73493,10.0655425844895
"358","Rual","Kaolack",2011,551921,NA,73276,9.96794897379364
"359","Rual","Kaolack",2012,586080,NA,73061,8.56635898346251
"360","Rual","Kaolack",2013,622115,NA,55143,11.2818490107539
"361","Rual","Kaolack",2014,635069,NA,56291,11.2818490107539
"362","Rual","Kaolack",2015,650795,NA,57685,11.2818490107539
"363","Rual","Kaolack",2016,666889,NA,59112,11.2818490107539
"364","Rual","Kaolack",2017,683386,NA,60574,11.2818490107539
"365","Rual","Kaolack",2018,700252,NA,62069,11.3
